FIPS,county,state,number,Geographic Area,County,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,FIPS_Code,State,Area_name,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
1021,Chilton,AL,AL-507,".Chilton County, Alabama",Chilton,"43,653","43,689","43,582","43,628","43,760","43,700","43,866","44,120","44,163","44,428",1021.0,AL,"Chilton County, AL",4.3,4.8,5.1,5.0,4.6,3.9,3.6,3.5,5.2,9.8,10.1,9.1,7.4,6.7,6.2,5.7,5.5,4.2,3.6,2.7,5.0,"49,692",96.0
1023,Choctaw,AL,AL-507,".Choctaw County, Alabama",Choctaw,"13,849","13,609","13,563","13,397","13,317","13,231","13,045","12,925","12,833","12,589",1023.0,AL,"Choctaw County, AL",6.6,7.2,8.9,10.0,8.5,6.5,5.6,6.1,8.6,12.4,13.0,13.0,10.5,9.4,9.0,9.2,8.5,6.5,5.5,4.7,6.7,"39,808",76.9
1025,Clarke,AL,AL-507,".Clarke County, Alabama",Clarke,"25,766","25,587","25,155","25,123","24,864","24,698","24,340","24,063","23,918","23,622",1025.0,AL,"Clarke County, AL",7.4,9.9,9.1,8.6,8.8,6.3,6.2,6.2,9.3,15.2,19.5,18.6,15.4,14.0,12.1,11.8,10.9,8.8,7.4,5.8,9.0,"43,822",84.6
1027,Clay,AL,AL-507,".Clay County, Alabama",Clay,"13,898","13,687","13,434","13,404","13,441","13,415","13,393","13,350","13,294","13,235",1027.0,AL,"Clay County, AL",6.2,6.1,6.2,7.2,6.3,4.9,4.5,5.6,8.2,15.4,14.2,11.7,9.6,8.5,7.1,6.2,6.0,4.5,3.8,3.0,4.0,"40,562",78.3
1029,Cleburne,AL,AL-505,".Cleburne County, Alabama",Cleburne,"15,004","14,928","14,889","14,976","15,026","14,914","14,848","14,899","15,010","14,910",1029.0,AL,"Cleburne County, AL",4.1,5.3,5.0,6.0,5.2,3.9,3.5,3.7,5.2,9.3,9.8,9.6,8.4,7.8,6.6,6.1,6.0,4.6,4.2,3.2,4.6,"51,276",99.0
1031,Coffee,AL,AL-507,".Coffee County, Alabama",Coffee,"50,208","50,444","51,141","50,681","50,657","50,963","51,202","51,853","51,950","52,342",1031.0,AL,"Coffee County, AL",5.9,6.3,5.2,5.5,5.3,3.9,3.7,3.9,5.0,7.8,8.5,8.1,7.2,7.0,6.6,6.0,5.9,4.5,3.9,2.9,4.4,"57,299",110.7
1033,Colbert,AL,AL-502,".Colbert County, Alabama",Colbert,"54,524","54,539","54,570","54,529","54,462","54,417","54,497","54,695","55,004","55,241",1033.0,AL,"Colbert County, AL",5.6,6.9,8.4,7.5,7.0,5.4,4.6,4.7,6.7,10.7,11.3,10.1,9.0,8.3,8.3,8.0,7.0,5.4,4.6,3.8,6.6,"46,683",90.2
1035,Conecuh,AL,AL-507,".Conecuh County, Alabama",Conecuh,"13,236","13,195","13,046","12,912","12,677","12,678","12,500","12,431","12,292","12,067",1035.0,AL,"Conecuh County, AL",6.6,7.4,8.2,8.5,8.4,6.1,5.6,6.5,9.7,18.4,16.9,15.0,12.2,10.9,10.3,9.3,8.4,6.3,5.2,4.0,7.3,"41,539",80.2
1037,Coosa,AL,AL-507,".Coosa County, Alabama",Coosa,"11,780","11,486","11,346","11,254","11,037","10,934","10,819","10,724","10,643","10,663",1037.0,AL,"Coosa County, AL",5.5,6.8,9.3,8.2,7.0,5.0,5.5,5.9,8.5,14.8,15.1,12.3,9.6,9.3,8.8,6.7,6.0,4.8,4.1,3.0,5.5,"42,024",81.2
1039,Covington,AL,AL-507,".Covington County, Alabama",Covington,"37,809","38,020","37,805","37,814","37,760","37,556","37,382","37,062","36,953","37,049",1039.0,AL,"Covington County, AL",7.0,6.4,5.9,6.9,6.6,4.5,3.8,4.0,6.1,9.9,10.2,9.8,8.6,8.2,7.7,7.2,6.8,5.4,4.6,3.5,4.9,"44,836",86.6
1041,Crenshaw,AL,AL-507,".Crenshaw County, Alabama",Crenshaw,"13,869","13,894","13,915","13,847","13,851","13,850","13,916","13,858","13,825","13,772",1041.0,AL,"Crenshaw County, AL",5.8,6.1,6.1,6.8,6.8,4.9,4.0,4.4,5.7,9.6,10.0,9.8,8.5,7.8,6.9,6.0,5.9,4.7,4.0,2.8,5.7,"43,309",83.7
1043,Cullman,AL,AL-503,".Cullman County, Alabama",Cullman,"80,456","80,410","80,279","80,690","81,068","81,761","82,450","82,867","83,418","83,768",1043.0,AL,"Cullman County, AL",4.2,4.7,6.0,5.8,5.1,4.0,3.4,3.4,5.0,9.4,10.3,9.5,7.9,6.8,6.0,5.3,5.0,3.9,3.3,2.6,4.3,"50,897",98.3
1045,Dale,AL,AL-507,".Dale County, Alabama",Dale,"50,394","50,122","50,289","49,771","49,414","49,365","49,362","49,342","49,143","49,172",1045.0,AL,"Dale County, AL",5.3,5.6,5.7,5.3,5.3,4.4,4.6,4.0,5.6,8.8,8.7,8.3,7.6,7.5,7.0,6.4,5.8,4.6,4.2,3.2,4.9,"45,120",87.2
1047,Dallas,AL,AL-507,".Dallas County, Alabama",Dallas,"43,854","43,251","42,789","41,976","41,554","40,936","40,080","39,238","38,294","37,196",1047.0,AL,"Dallas County, AL",8.1,9.3,11.4,11.3,9.9,8.5,8.1,8.5,11.5,19.6,16.6,15.0,13.2,12.4,11.2,9.6,9.2,7.7,6.5,5.5,10.7,"34,034",65.7
1049,DeKalb,AL,AL-503,".DeKalb County, Alabama",DeKalb,"71,163","71,365","70,944","70,912","70,993","71,087","71,104","71,437","71,407","71,513",1049.0,AL,"DeKalb County, AL",4.1,4.9,5.2,5.7,5.7,5.1,4.1,4.4,6.0,13.1,12.4,11.7,9.3,7.7,6.8,6.1,6.1,4.6,3.8,2.8,4.5,"44,277",85.5
1051,Elmore,AL,AL-507,".Elmore County, Alabama",Elmore,"79,552","79,993","80,193","80,536","80,538","80,872","81,204","81,422","81,011","81,209",1051.0,AL,"Elmore County, AL",4.0,4.3,4.8,5.1,4.8,3.7,3.4,3.4,5.3,8.7,9.0,8.4,7.1,6.2,5.7,5.1,4.8,3.8,3.4,2.6,4.9,"62,310",120.4
1053,Escambia,AL,AL-507,".Escambia County, Alabama",Escambia,"38,345","38,204","38,023","37,765","37,735","37,661","37,475","36,993","36,524","36,633",1053.0,AL,"Escambia County, AL",5.3,6.2,8.7,8.6,7.5,5.5,4.9,5.4,7.8,12.4,11.6,10.7,9.4,8.7,8.0,7.1,6.7,5.1,4.5,3.5,6.0,"42,712",82.5
1055,Etowah,AL,AL-505,".Etowah County, Alabama",Etowah,"104,459","104,369","104,278","103,884","103,399","102,998","102,855","103,007","102,611","102,268",1055.0,AL,"Etowah County, AL",5.9,6.7,6.4,6.5,6.3,4.7,4.2,4.6,6.2,10.5,10.8,10.0,8.5,7.7,7.0,6.2,5.9,4.7,4.1,3.4,7.7,"43,047",83.1
1057,Fayette,AL,AL-507,".Fayette County, Alabama",Fayette,"17,229","17,052","16,945","16,824","16,772","16,696","16,563","16,466","16,445","16,302",1057.0,AL,"Fayette County, AL",5.9,6.4,8.6,6.9,6.8,4.4,4.2,4.8,7.5,12.9,12.8,11.0,8.8,8.4,7.8,7.1,6.8,4.9,4.1,3.1,5.0,"44,212",85.4
1059,Franklin,AL,AL-502,".Franklin County, Alabama",Franklin,"31,746","31,776","31,690","31,553","31,559","31,515","31,611","31,542","31,298","31,362",1059.0,AL,"Franklin County, AL",6.6,7.7,11.2,9.5,6.9,5.3,4.6,4.7,7.7,12.3,10.5,9.5,8.6,8.2,7.7,6.5,5.9,4.4,3.7,2.8,4.4,"44,874",86.7
1061,Geneva,AL,AL-507,".Geneva County, Alabama",Geneva,"26,777","26,756","26,924","26,677","26,593","26,631","26,494","26,385","26,306","26,271",1061.0,AL,"Geneva County, AL",5.1,6.5,4.9,5.6,4.9,3.9,3.7,3.5,5.7,9.9,10.2,9.2,7.8,7.1,6.7,6.0,5.8,4.5,3.9,3.0,4.1,"43,089",83.2
1063,Greene,AL,AL-507,".Greene County, Alabama",Greene,"8,991","8,903","8,848","8,748","8,584","8,508","8,482","8,310","8,209","8,111",1063.0,AL,"Greene County, AL",6.9,7.2,8.5,8.5,8.6,6.6,5.6,6.5,8.8,14.1,17.0,17.1,13.9,13.0,12.4,11.1,10.0,7.8,6.6,5.6,10.9,"28,699",55.4
1065,Hale,AL,AL-507,".Hale County, Alabama",Hale,"15,745","15,361","15,364","15,246","15,046","15,015","14,828","14,801","14,749","14,651",1065.0,AL,"Hale County, AL",6.1,7.3,8.4,8.4,7.4,5.4,5.2,5.5,7.7,13.1,14.8,13.7,11.7,11.8,9.8,7.8,7.7,6.1,5.1,4.0,9.4,"40,745",78.7
1067,Henry,AL,AL-507,".Henry County, Alabama",Henry,"17,296","17,377","17,153","17,129","17,079","17,101","17,072","17,115","17,173","17,205",1067.0,AL,"Henry County, AL",5.0,5.4,6.1,5.8,5.5,4.3,4.0,5.5,8.0,10.3,10.8,9.7,8.5,7.8,7.5,6.8,6.5,5.0,4.4,3.6,4.8,"48,597",93.9
1069,Houston,AL,AL-507,".Houston County, Alabama",Houston,"101,798","102,488","103,371","103,643","104,158","104,260","104,218","104,378","104,770","105,882",1069.0,AL,"Houston County, AL",4.4,4.3,4.8,4.8,4.6,3.8,3.4,3.4,5.1,8.5,9.0,8.6,7.8,7.0,6.7,6.3,5.8,4.5,4.0,3.0,5.4,"50,138",96.8
1071,Jackson,AL,AL-503,".Jackson County, Alabama",Jackson,"53,184","53,214","53,079","52,957","52,562","52,195","51,988","51,828","51,621","51,626",1071.0,AL,"Jackson County, AL",5.2,6.6,7.1,7.0,6.7,5.0,4.4,4.6,6.4,11.7,11.6,10.2,8.8,8.0,7.2,6.7,6.3,4.9,4.1,3.3,5.3,"44,322",85.6
1073,Jefferson,AL,AL-500,".Jefferson County, Alabama",Jefferson,"658,215","658,109","658,061","659,265","659,972","660,455","660,343","659,599","659,429","658,573",1073.0,AL,"Jefferson County, AL",4.0,4.4,5.2,5.5,5.2,4.4,4.0,3.9,5.6,9.9,10.2,9.2,7.6,6.8,6.3,5.8,5.7,4.4,3.7,2.9,6.2,"54,127",104.6
1075,Lamar,AL,AL-507,".Lamar County, Alabama",Lamar,"14,496","14,291","14,248","14,212","14,067","13,927","13,928","13,882","13,882","13,805",1075.0,AL,"Lamar County, AL",7.0,8.1,8.4,8.7,8.1,5.6,5.2,6.4,8.3,14.7,13.0,9.6,7.7,7.1,6.9,6.4,5.7,4.3,3.8,3.1,4.9,"42,686",82.5
1077,Lauderdale,AL,AL-502,".Lauderdale County, Alabama",Lauderdale,"92,737","92,607","92,662","92,701","93,000","92,459","92,425","92,564","92,604","92,729",1077.0,AL,"Lauderdale County, AL",5.0,6.6,8.6,7.3,6.3,5.1,4.2,4.4,5.9,9.8,10.0,9.1,7.9,7.2,7.2,7.0,6.4,4.8,4.2,3.3,5.5,"48,188",93.1
1079,Lawrence,AL,AL-507,".Lawrence County, Alabama",Lawrence,"34,342","34,051","33,806","33,575","33,444","33,135","33,227","33,063","32,941","32,924",1079.0,AL,"Lawrence County, AL",5.0,6.0,6.8,6.7,6.3,5.5,4.8,4.2,6.7,12.5,12.4,10.8,9.2,8.5,8.2,7.8,6.9,5.1,4.1,3.2,4.9,"47,797",92.3
1081,Lee,AL,AL-507,".Lee County, Alabama",Lee,"140,794","144,130","148,567","151,809","154,511","156,954","159,168","161,440","163,656","164,542",1081.0,AL,"Lee County, AL",4.0,4.1,4.6,4.7,4.4,3.7,3.4,3.7,5.4,8.6,8.9,8.0,7.0,6.0,5.6,5.3,5.2,4.1,3.6,2.8,5.2,"54,160",104.6
1083,Limestone,AL,AL-503,".Limestone County, Alabama",Limestone,"83,181","85,557","87,326","88,916","90,599","91,565","92,847","94,130","96,177","98,915",1083.0,AL,"Limestone County, AL",3.8,4.4,5.4,5.5,5.1,4.4,3.6,3.4,4.9,9.0,9.5,8.6,7.0,6.3,6.1,5.5,5.3,4.2,3.5,2.7,4.3,"64,729",125.0
1085,Lowndes,AL,AL-507,".Lowndes County, Alabama",Lowndes,"11,289","11,140","10,851","10,661","10,494","10,350","10,248","10,097","9,974","9,726",1085.0,AL,"Lowndes County, AL",7.0,7.3,8.9,9.2,9.1,8.0,7.5,7.7,11.3,17.8,18.1,17.5,15.8,14.3,12.8,11.6,10.6,8.5,7.3,5.8,13.3,"33,930",65.5
1087,Macon,AL,AL-507,".Macon County, Alabama",Macon,"21,505","21,284","20,608","20,021","19,641","19,296","19,060","18,793","18,321","18,068",1087.0,AL,"Macon County, AL",5.8,5.9,6.5,7.0,6.9,5.8,5.2,5.5,7.7,11.2,14.5,13.9,11.0,9.8,9.1,8.1,7.6,6.0,5.4,4.3,9.6,"34,281",66.2
1089,Madison,AL,AL-503,".Madison County, Alabama",Madison,"336,095","339,565","342,730","346,625","349,796","352,977","356,729","361,762","367,004","372,909",1089.0,AL,"Madison County, AL",3.6,3.9,4.6,4.7,4.6,3.6,3.3,3.1,4.3,7.4,8.2,8.2,7.1,6.4,6.1,5.5,5.1,4.0,3.5,2.6,4.6,"68,609",132.5
1091,Marengo,AL,AL-507,".Marengo County, Alabama",Marengo,"20,956","20,661","20,375","20,119","19,986","19,766","19,525","19,396","19,056","18,863",1091.0,AL,"Marengo County, AL",5.3,6.0,6.4,6.3,6.0,5.7,4.6,5.4,7.7,13.1,13.5,12.4,10.4,9.0,7.9,7.7,7.2,5.8,4.9,3.5,6.2,"38,838",75.0
1093,Marion,AL,AL-502,".Marion County, Alabama",Marion,"30,816","30,652","30,484","30,224","30,199","30,119","29,960","29,792","29,750","29,709",1093.0,AL,"Marion County, AL",6.7,8.8,8.8,7.2,6.3,4.4,4.3,5.3,8.2,15.3,13.3,11.1,9.1,8.0,7.9,7.0,6.6,5.0,4.1,3.5,5.1,"44,675",86.3
1095,Marshall,AL,AL-505,".Marshall County, Alabama",Marshall,"93,122","93,895","94,260","94,356","94,257","94,585","95,113","95,572","96,170","96,774",1095.0,AL,"Marshall County, AL",4.8,5.6,6.0,5.6,4.8,3.9,3.4,3.5,4.9,9.3,9.5,9.4,8.0,6.9,6.6,5.8,5.3,4.0,3.4,2.5,4.2,"48,913",94.5
1097,Mobile,AL,AL-501,".Mobile County, Alabama",Mobile,"413,315","413,068","413,816","413,918","414,149","414,462","414,945","414,045","413,908","413,210",1097.0,AL,"Mobile County, AL",5.0,5.7,6.5,6.9,6.5,4.9,4.1,4.1,5.9,10.4,11.1,10.7,9.4,8.7,7.7,6.9,6.6,5.4,4.7,3.7,7.9,"49,492",95.6
1099,Monroe,AL,AL-507,".Monroe County, Alabama",Monroe,"23,005","22,796","22,581","22,170","21,926","21,717","21,548","21,290","21,062","20,733",1099.0,AL,"Monroe County, AL",6.5,7.3,8.5,8.3,7.4,6.1,6.0,6.6,10.5,18.0,17.8,15.5,12.8,12.0,11.0,10.1,9.1,6.9,6.1,4.8,8.2,"40,005",77.3
1101,Montgomery,AL,AL-504,".Montgomery County, Alabama",Montgomery,"229,505","229,189","228,874","228,190","227,551","227,279","227,170","227,265","226,504","226,486",1101.0,AL,"Montgomery County, AL",4.2,4.6,5.3,5.8,5.7,4.5,4.1,4.2,6.1,9.6,9.9,9.7,8.3,7.4,6.8,6.1,5.7,4.5,4.0,3.1,7.8,"52,711",101.8
1103,Morgan,AL,AL-503,".Morgan County, Alabama",Morgan,"119,608","120,024","120,102","119,571","119,444","119,257","119,006","118,918","119,203","119,679",1103.0,AL,"Morgan County, AL",4.3,5.2,6.4,6.5,6.0,4.5,4.0,3.6,5.4,9.9,10.6,9.4,8.0,7.0,6.6,5.9,5.5,4.2,3.5,2.6,4.5,"54,355",105.0
1105,Perry,AL,AL-507,".Perry County, Alabama",Perry,"10,563","10,450","10,163","9,999","9,801","9,640","9,532","9,302","9,070","8,923",1105.0,AL,"Perry County, AL",9.3,11.1,11.8,10.6,10.0,9.0,8.3,8.6,11.7,18.4,16.5,16.3,13.6,13.7,12.0,10.0,10.3,8.0,6.5,5.3,10.9,"29,572",57.1
1107,Pickens,AL,AL-507,".Pickens County, Alabama",Pickens,"19,749","19,354","19,309","19,300","20,272","20,776","20,325","20,204","19,980","19,930",1107.0,AL,"Pickens County, AL",7.6,8.5,8.3,8.1,7.5,5.4,5.0,5.1,7.4,12.6,12.9,11.9,10.4,9.5,8.1,6.8,6.9,5.5,4.6,3.5,6.5,"40,249",77.7
1109,Pike,AL,AL-507,".Pike County, Alabama",Pike,"32,970","33,025","33,215","33,715","33,199","33,496","33,464","33,349","33,242","33,114",1109.0,AL,"Pike County, AL",5.6,5.4,6.0,5.8,5.3,4.0,4.0,4.1,5.0,8.7,9.4,8.9,8.2,7.8,7.3,6.6,6.5,5.0,4.5,3.3,4.9,"41,271",79.7
1111,Randolph,AL,AL-507,".Randolph County, Alabama",Randolph,"22,937","22,745","22,533","22,547","22,353","22,594","22,504","22,687","22,727","22,722",1111.0,AL,"Randolph County, AL",4.9,6.3,6.8,7.4,6.6,6.1,5.3,5.2,7.6,13.7,13.1,11.3,9.4,7.9,6.7,5.9,5.6,4.5,4.0,3.1,4.7,"42,922",82.9
1113,Russell,AL,AL-507,".Russell County, Alabama",Russell,"53,321","54,852","57,500","59,149","59,224","58,844","58,185","56,985","57,784","57,961",1113.0,AL,"Russell County, AL",4.7,5.6,7.0,7.5,6.5,6.0,5.8,6.2,8.3,11.3,10.7,10.2,9.0,7.4,6.5,6.0,5.6,4.5,4.0,3.0,5.1,"43,670",84.4
1115,St. Clair,AL,AL-500,".St. Clair County, Alabama",St. Clair,"83,571","83,975","84,761","85,810","85,996","86,546","87,306","87,926","88,654","89,512",1115.0,AL,"St. Clair County, AL",3.8,4.2,5.1,5.2,4.9,3.9,3.5,3.5,5.2,10.0,10.0,8.7,7.0,6.2,5.7,5.2,5.2,4.1,3.5,2.7,4.9,"65,403",126.3
1117,Shelby,AL,AL-500,".Shelby County, Alabama",Shelby,"196,032","197,952","200,912","204,039","206,280","208,959","211,282","213,633","215,583","217,702",1117.0,AL,"Shelby County, AL",2.8,3.0,3.5,3.5,3.3,3.1,2.7,2.7,3.9,7.1,7.0,6.2,5.2,4.7,4.5,4.2,4.3,3.3,2.8,2.2,3.9,"77,801",150.3
1119,Sumter,AL,AL-507,".Sumter County, Alabama",Sumter,"13,730","13,490","13,440","13,394","13,270","13,206","12,967","12,749","12,634","12,427",1119.0,AL,"Sumter County, AL",9.2,8.5,9.0,10.0,9.4,7.2,6.7,6.7,9.1,13.7,13.1,13.0,10.7,9.2,8.4,8.0,7.7,6.8,5.8,4.6,7.0,"29,209",56.4
1121,Talladega,AL,AL-505,".Talladega County, Alabama",Talladega,"82,172","81,863","82,146","81,578","81,512","81,128","80,552","80,142","80,137","79,978",1121.0,AL,"Talladega County, AL",5.2,6.6,7.4,7.7,6.7,4.8,5.1,5.3,7.5,13.2,13.2,11.5,9.6,8.7,7.7,6.6,6.6,5.2,4.2,3.4,7.0,"47,719",92.2
1123,Tallapoosa,AL,AL-507,".Tallapoosa County, Alabama",Tallapoosa,"41,476","41,402","41,048","41,028","40,884","40,605","40,586","40,613","40,535","40,367",1123.0,AL,"Tallapoosa County, AL",4.9,6.0,7.9,6.9,6.1,4.5,5.0,5.4,7.4,12.5,12.9,11.3,8.8,8.2,7.5,6.1,5.6,4.3,4.1,3.0,6.9,"47,100",91.0
1125,Tuscaloosa,AL,AL-506,".Tuscaloosa County, Alabama",Tuscaloosa,"194,996","196,745","198,807","201,084","203,086","204,767","206,464","207,618","208,319","209,355",1125.0,AL,"Tuscaloosa County, AL",4.0,4.2,4.7,4.9,4.7,3.7,3.3,3.4,4.9,9.3,9.1,8.3,7.2,6.5,5.9,5.5,5.7,4.3,3.6,2.7,6.6,"52,307",101.0
1127,Walker,AL,AL-507,".Walker County, Alabama",Walker,"66,997","66,585","66,104","65,777","65,338","64,931","64,533","63,895","63,669","63,521",1127.0,AL,"Walker County, AL",5.9,6.1,6.4,6.4,6.0,4.4,4.5,4.4,5.9,10.7,12.5,11.2,9.4,8.6,7.9,7.3,7.5,5.2,4.2,3.3,5.8,"45,991",88.8
1129,Washington,AL,AL-507,".Washington County, Alabama",Washington,"17,626","17,355","17,146","16,897","16,868","16,832","16,621","16,522","16,402","16,326",1129.0,AL,"Washington County, AL",6.9,9.0,10.4,10.4,9.4,6.2,5.7,6.1,8.7,13.9,13.9,14.4,12.2,11.0,9.5,9.0,8.6,7.0,5.8,4.7,8.0,"48,864",94.4
1131,Wilcox,AL,AL-507,".Wilcox County, Alabama",Wilcox,"11,560","11,438","11,302","11,145","10,946","10,896","10,844","10,691","10,599","10,373",1131.0,AL,"Wilcox County, AL",8.8,10.2,11.5,12.3,11.9,9.2,8.6,9.9,14.4,24.2,25.8,22.9,20.4,19.5,16.8,14.7,14.5,11.8,9.5,7.2,14.7,"30,998",59.9
1133,Winston,AL,AL-507,".Winston County, Alabama",Winston,"24,412","24,362","24,193","24,189","24,139","23,930","23,907","23,760","23,693","23,629",1133.0,AL,"Winston County, AL",7.9,9.5,8.8,9.4,7.2,5.0,4.9,5.7,8.9,16.4,15.7,13.4,10.2,9.5,8.6,7.6,7.1,5.2,4.2,3.3,4.7,"40,827",78.9
2013,Aleutians East,AK,AK-501,".Aleutians East Borough, Alaska",Aleutians East Borough[a],"3,166","3,259","3,294","3,343","3,346","3,373","3,363","3,455","3,395","3,337",2013.0,AK,"Aleutians East Borough, AK",8.7,8.2,8.7,9.6,8.6,9.6,8.5,7.8,8.4,10.2,5.8,6.3,6.9,6.1,4.4,3.1,2.5,2.4,2.8,2.3,4.0,"66,923",86.7
2016,Aleutians West,AK,AK-501,".Aleutians West Census Area, Alaska",Aleutians West Census Area[b],"5,559","5,582","5,676","5,777","5,822","5,781","5,705","5,729","5,640","5,634",2016.0,AK,"Aleutians West Census Area, AK",5.1,5.8,6.2,6.3,6.5,5.8,5.7,5.4,5.6,7.2,5.2,6.0,7.0,6.9,4.7,3.7,3.2,3.4,3.2,3.1,4.5,"84,726",109.7
2020,Anchorage,AK,AK-500,".Anchorage Municipality, Alaska","Anchorage, Municipality of[a][c]","293,321","296,197","298,255","301,142","299,893","297,547","297,249","294,338","290,521","288,000",2020.0,AK,"Anchorage Borough/municipality, AK",5.0,4.9,5.7,6.2,5.9,5.5,5.3,5.0,5.2,6.7,6.8,6.1,5.4,5.2,5.1,4.9,5.3,5.4,5.0,4.4,7.4,"82,512",106.9
2050,Bethel,AK,AK-501,".Bethel Census Area, Alaska",Bethel Census Area[b],"17,084","17,419","17,656","17,852","17,936","17,955","18,022","18,090","18,219","18,386",2050.0,AK,"Bethel Census Area, AK",8.9,9.8,10.4,12.1,12.6,12.9,13.2,12.7,13.4,14.5,15.1,15.3,15.6,16.2,15.8,13.9,13.7,12.7,11.7,11.5,11.6,"48,262",62.5
